"f10","f15","b1","b2","b3","age","numkids","partner","selfempl","nonequity.wealth.cat","lincome","male","adv.lit.index","bsc.lit.index","edu1","edu2","edu3","edu4","edu5","edu6","retired","mkt.part"
"better","intermediate or high","4","little","little",">60",0,"Ja",0,"2",9.8127785,"female",-1.7630528,0.49042296,0,1,0,0,0,0,0,0
"better","intermediate or high","5","some","some","50s",0,"Nee",NA,NA,10.733924,"female",-0.63071167,0.79180282,0,0,0,0,0,1,0,NA
"no sibling","low","5","little","some",">60",0,"Ja",0,"4",10.964006,"male",0.62437224,0.79180282,0,0,0,0,1,0,1,0
"better","intermediate or high","2","hardly at all","some",">60",0,"Nee",NA,NA,9.8604641,"female",0.084429845,0.79180282,0,0,0,0,1,0,1,NA
"better","intermediate or high","4","little","little","40s",0,"Ja",NA,NA,10.273133,"male",-0.91604853,0.49042296,0,1,0,0,0,0,0,NA
"better","intermediate or high","3","little","some","50s",0,"Nee",0,"4",10.386364,"male",0.53514087,-1.3150097,0,0,0,0,0,1,0,0
"worse","intermediate or high","5","a lot","a lot",">60",0,"Ja",0,"4",10.716457,"male",0.85747272,0.79180282,0,0,0,0,0,1,1,1
"better","intermediate or high","6","some","a lot","50s",0,"Ja",0,"3",9.9668579,"male",0.85747272,0.79180282,0,0,0,1,0,0,0,0
"worse","intermediate or high","5","hardly at all","some",">60",0,"Ja",0,"4",10.24884,"male",0.52344275,0.49042296,0,0,0,0,1,0,1,1
"better","intermediate or high","4","some","some","40s",0,"Ja",NA,NA,NA,"female",0.25746197,-0.37718052,0,0,1,0,0,0,0,NA
"worse","intermediate or high","6","a lot","a lot","40s",0,"Nee",0,"1",9.9105072,"male",1.0239724,0.79180282,0,0,0,0,1,0,0,0
"better","intermediate or high","7 zeer goed","little","little",">60",0,"Nee",0,"2",9.7424564,"male",0.8910414,0.79180282,0,0,1,0,0,0,1,0
"worse","intermediate or high","5","hardly at all","little","40s",0,"Nee",0,"3",9.7526941,"female",-0.032141816,-0.14271231,0,0,0,0,1,0,0,0
"worse","intermediate or high","5","little","a lot","50s",4,"Ja",NA,NA,10.190798,"male",0.65648174,0.15866753,0,0,0,0,1,0,0,NA
"better","intermediate or high","4","little","little","50s",1,"Ja",0,"4",10.167546,"female",0.54851466,0.49042296,0,0,1,0,0,0,0,0
"better","intermediate or high","3","a lot","little",">60",0,"Ja",0,"4",10.565757,"male",0.9449876,0.79180282,0,0,0,0,0,1,1,0
"no sibling","intermediate or high","5","little","some",">60",0,"Ja",0,"2",9.4295025,"male",0.54900157,-0.44740623,0,1,0,0,0,0,1,0
